URL, Mobile_Performance, Mobile_Accessibility, Mobile_Best_Practices, Mobile_SEO, M_FCP, M_LCP, M_CLS, M_TBT, M_TTI, M_SI, MDOM_Size, Desktop_Performance, Desktop_Accessibility, Desktop_Best_Practices, Desktop_SEO, D_FCP, D_LCP, D_CLS, D_TBT, D_TTI, D_SI, DDOM_Size, Mobile_Diagnostics, Desktop_Diagnostics,
,https://www.personaldrivers.com/prices-and-services/rental-truck-driver/,99,100,100,100,1.3 s,1.4 s,0,20 ms,1.4 s,1.3 s,691,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,691,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/car-delivery/,99,100,100,100,1.4 s,1.5 s,0,40 ms,1.5 s,1.4 s,711,100,100,100,100,0.3 s,0.5 s,0,0 ms,0.5 s,0.3 s,711,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/hire-a-driver/,99,100,100,100,1.1 s,1.2 s,0,20 ms,1.3 s,1.1 s,711,100,100,100,100,0.3 s,0.4 s,0.096,0 ms,0.4 s,0.3 s,711,Fixed,Fixed
,https://www.personaldrivers.com/driving-jobs/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,457,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,457,Fixed,Fixed
,https://www.personaldrivers.com/faq/private-driver-faq/,99,100,100,100,0.9 s,1.0 s,0.006,0 ms,1.0 s,0.9 s,479,100,100,100,100,0.3 s,0.3 s,0.037,0 ms,0.3 s,0.3 s,479,Fixed,Fixed
,https://www.personaldrivers.com/driving-job-application/,99,100,100,100,1.0 s,1.1 s,0,0 ms,1.1 s,1.0 s,706,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,707,Fixed,Fixed
,https://www.personaldrivers.com/video-library/video-hire-personal-driver/,100,100,100,100,1.0 s,1.0 s,0,10 ms,1.1 s,1.0 s,476,100,100,100,100,0.3 s,0.3 s,0.004,0 ms,0.3 s,0.3 s,476,Fixed,Fixed
,https://www.personaldrivers.com/web-stories/,96,100,100,100,1.0 s,1.3 s,0,90 ms,1.3 s,1.0 s,768,94,100,100,100,0.3 s,0.5 s,0.005,0 ms,0.5 s,0.3 s,768,Fixed,Fixed
,https://www.personaldrivers.com/video-library/,99,100,100,100,1.1 s,1.1 s,0,10 ms,1.1 s,1.1 s,477,100,100,100,100,0.3 s,0.3 s,0.005,0 ms,0.3 s,0.3 s,477,Fixed,Fixed
,https://www.personaldrivers.com/customer-experiences/construction-truck-transport-with-trailer/,100,100,100,100,1.0 s,1.0 s,0,10 ms,1.1 s,1.0 s,463,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,463,Fixed,Fixed
,https://www.personaldrivers.com/faq/pet-transport-faq/,100,100,100,100,1.0 s,1.2 s,0,0 ms,1.2 s,1.0 s,496,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,496,Fixed,Fixed
,https://www.personaldrivers.com/faq/rental-truck-driver-faq/,99,100,100,100,1.1 s,1.3 s,0,0 ms,1.3 s,1.1 s,496,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,496,Fixed,Fixed
,https://www.personaldrivers.com/faq/car-delivery-faq/,99,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,514,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.4 s,514,Fixed,Fixed
,https://www.personaldrivers.com/faq/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.1 s,1.0 s,604,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,606,Fixed,Fixed
,https://www.personaldrivers.com/customer-experiences/seemless-move-to-florida-in-retirement/,99,100,100,100,1.0 s,1.0 s,0,10 ms,1.1 s,1.0 s,467,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,467,Fixed,Fixed
,https://www.personaldrivers.com/customer-experiences/convention-equipment-delivery/,100,100,100,100,1.1 s,1.3 s,0,30 ms,1.3 s,1.1 s,483,78,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,484,Fixed,Fixed
,https://www.personaldrivers.com/customer-experiences/medical-transport-across-states/,100,100,100,100,1.0 s,1.1 s,0,10 ms,1.1 s,1.0 s,480,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,481,Fixed,Fixed
,https://www.personaldrivers.com/video-library/video-snowbird-transport/,99,100,100,100,1.0 s,1.0 s,0,10 ms,1.1 s,1.0 s,462,100,100,100,100,0.3 s,0.3 s,0.003,0 ms,0.3 s,0.3 s,462,Fixed,Fixed
,https://www.personaldrivers.com/privacy-policy/,99,100,100,100,1.0 s,1.1 s,0,30 ms,1.1 s,1.2 s,707,100,100,100,100,0.3 s,0.3 s,0.001,0 ms,0.3 s,0.3 s,707,Fixed,Fixed
,https://www.personaldrivers.com/about-us/contact-personal-drivers/,99,100,100,100,0.9 s,1.0 s,0,20 ms,1.1 s,0.9 s,520,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,520,Fixed,Fixed
,https://www.personaldrivers.com/faq/personal-driver-faq/,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,493,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,493,Fixed,Fixed
,https://www.personaldrivers.com/faq/road-trip-driver-faq/,98,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,498,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.4 s,498,Fixed,Fixed
,https://www.personaldrivers.com/faq/long-distance-driver-faq/,99,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,498,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,498,Fixed,Fixed
,https://www.personaldrivers.com/about-us/,92,100,100,100,1.0 s,1.0 s,0,0 ms,1.1 s,1.0 s,483,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,483,Fixed,Fixed
,https://www.personaldrivers.com/reviews/,100,100,100,100,1.0 s,1.1 s,0,40 ms,1.1 s,1.0 s,421,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,421,Fixed,Fixed
,https://www.personaldrivers.com/sitemap/,100,100,100,100,1.0 s,1.1 s,0,70 ms,1.2 s,1.0 s,707,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,707,Fixed,Fixed
,https://www.personaldrivers.com/road-trip/tools/gas-calculator/,99,100,96,100,1.2 s,1.3 s,0,290 ms,1.7 s,1.2 s,528,100,100,96,100,0.3 s,0.3 s,0.005,0 ms,0.3 s,0.4 s,528,Fixed,Fixed
